season,away_team,home_team,away_goals,home_goals,away_shots,home_shots,away_xg,home_xg,url,away_eng,home_eng,away_ev_goals,home_ev_goals
20242025,Lindenwood,Notre Dame,3.0,2.0,19.0,28.0,1.8,2.3,https://www.collegehockeynews.com/box/final/20250124/lin/ndm/,0,0,2.0,2.0
20242025,Minnesota State,Ferris State,0.0,2.0,38.0,40.0,3.8,2.3,https://www.collegehockeynews.com/box/final/20250124/mns/fsu/,0,0,0.0,2.0
20242025,Northern Michigan,Michigan Tech,2.0,3.0,20.0,36.0,1.3,4.1,https://www.collegehockeynews.com/box/final/20250124/nmu/mtu/,0,0,2.0,1.0
20242025,Augustana,Bowling Green,1.0,0.0,35.0,33.0,2.6,3.3,https://www.collegehockeynews.com/box/final/20250124/aug/bgs/,0,0,1.0,0.0
20242025,Quinnipiac,Yale,6.0,2.0,35.0,18.0,4.1,2.4,https://www.collegehockeynews.com/box/final/20250125/qui/yal/,1,0,1.0,2.0
20242025,Connecticut,Sacred Heart,1.0,0.0,17.0,23.0,1.7,3.1,https://www.collegehockeynews.com/box/final/20250125/con/sac/,0,0,1.0,0.0
20242025,Mass.-Lowell,Providence,1.0,0.0,26.0,24.0,2.8,1.8,https://www.collegehockeynews.com/box/final/20250125/uml/prv/,0,0,1.0,0.0
20242025,Vermont,New Hampshire,2.0,5.0,25.0,31.0,3.1,4.7,https://www.collegehockeynews.com/box/final/20250125/ver/unh/,0,0,1.0,4.0
20242025,Merrimack,Northeastern,4.0,3.0,34.0,46.0,2.9,4.5,https://www.collegehockeynews.com/box/final/20250125/mer/noe/,0,0,3.0,1.0
20242025,Boston University,Boston College,0.0,2.0,30.0,25.0,3.8,3.5,https://www.collegehockeynews.com/box/final/20250125/bu_/bc_/,0,1,0.0,0.0
20242025,Holy Cross,Air Force,6.0,3.0,25.0,31.0,2.8,2.9,https://www.collegehockeynews.com/box/final/20250125/hcr/afa/,1,0,3.0,2.0
20242025,Canisius,American Int'l,2.0,3.0,35.0,27.0,3.8,3.3,https://www.collegehockeynews.com/box/final/20250125/cns/aic/,0,0,1.0,3.0
20242025,Army,Robert Morris,2.0,0.0,32.0,29.0,3.5,3.3,https://www.collegehockeynews.com/box/final/20250125/arm/rmu/,1,0,1.0,0.0
20242025,Niagara,RIT,6.0,3.0,43.0,37.0,4.7,3.6,https://www.collegehockeynews.com/box/final/20250125/nia/rit/,1,0,3.0,3.0
20242025,Colorado College,Arizona State,5.0,4.0,41.0,34.0,3.6,2.6,https://www.collegehockeynews.com/box/final/20250125/cc_/asu/,0,0,5.0,3.0
20242025,Miami,Western Michigan,0.0,2.0,14.0,33.0,0.7,2.8,https://www.collegehockeynews.com/box/final/20250125/mia/wmu/,0,0,0.0,1.0
20242025,Denver,Minnesota-Duluth,2.0,1.0,30.0,30.0,2.6,2.9,https://www.collegehockeynews.com/box/final/20250125/den/mnd/,0,0,2.0,1.0
20242025,St. Cloud State,Omaha,1.0,3.0,39.0,32.0,3.7,2.8,https://www.collegehockeynews.com/box/final/20250125/stc/uno/,0,1,1.0,2.0
20242025,Ohio State,Penn State,2.0,3.0,26.0,30.0,3.4,3.5,https://www.collegehockeynews.com/box/final/20250125/osu/psu/,0,0,0.0,2.0
20242025,Minnesota,Michigan State,3.0,3.0,21.0,38.0,1.9,3.2,https://www.collegehockeynews.com/box/final/20250125/min/msu/,0,0,2.0,3.0
20242025,Michigan,Wisconsin,4.0,4.0,21.0,28.0,2.5,2.9,https://www.collegehockeynews.com/box/final/20250125/mic/wis/,0,0,4.0,4.0
20242025,Alaska,Massachusetts,3.0,7.0,33.0,28.0,3.4,2.6,https://www.collegehockeynews.com/box/final/20250125/akf/uma/,0,0,2.0,5.0
20242025,Rensselaer,Union,2.0,3.0,22.0,28.0,3.2,4.1,https://www.collegehockeynews.com/box/final/20250125/ren/uni/,0,0,2.0,3.0
20242025,Lindenwood,Notre Dame,2.0,4.0,24.0,40.0,2.2,3.1,https://www.collegehockeynews.com/box/final/20250125/lin/ndm/,0,1,2.0,2.0
