Day,Date,Time,Visitor_Team,Visitor_Score,Location_Indicator,Home_Team,Home_Score,OT_Info,Notes,Type,Is_Final,Is_Neutral,Is_Exhibition,Is_OT,Season
Fri.,2023-09-22,7:00 ET,Toronto,0,@,Princeton,3,,,ex,True,False,True,False,20232024
Sat.,2023-09-23,3:00 ET,Colgate,4,@,St. Lawrence,1,,,ex,True,False,True,False,20232024
Sat.,2023-09-23,3:00 ET,New Brunswick,0,@,Maine,3,,,ex,True,False,True,False,20232024
Sat.,2023-09-23,2:00 ET,Stonehill,0,@,Boston College,7,,,ex,True,False,True,False,20232024
Sat.,2023-09-23,2:00 CT,Durham West,0,@,Minnesota,6,,,ex,True,False,True,False,20232024
Sat.,2023-09-23,5:00 ET,Post,0,@,Mercyhurst,5,,,nc,True,False,False,False,20232024
Sat.,2023-09-23,3:00 CT,Bemidji State,2,@,Lindenwood,4,,,nc,True,False,False,False,20232024
Sat.,2023-09-23,3:00 ET,RIT,1,@,RPI,1,OT,,nc,True,False,False,True,20232024
Sat.,2023-09-23,2:00 ET,Merrimack,0,@,Clarkson,5,,,nc,True,False,False,False,20232024
Sat.,2023-09-23,3:00 ET,Penn State,0,@,Northeastern,1,,,nc,True,False,False,False,20232024
Sat.,2023-09-23,3:00 CT,Union,1,@,St. Cloud State,6,,,nc,True,False,False,False,20232024
Sun.,2023-09-24,3:00 ET,Toronto,3,@,Cornell,8,,,ex,True,False,True,False,20232024
Sun.,2023-09-24,2:00 ET,New Brunswick,3,@,New Hampshire,4,OT,,ex,True,False,True,True,20232024
Sun.,2023-09-24,2:00 CT,Durham,2,@,St. Thomas,6,,,ex,True,False,True,False,20232024
Sun.,2023-09-24,1:00 ET,Post,0,@,Mercyhurst,2,,,nc,True,False,False,False,20232024
Sun.,2023-09-24,3:00 CT,Bemidji State,1,@,Lindenwood,4,,,nc,True,False,False,False,20232024
Sun.,2023-09-24,3:30 ET,RIT,1,@,RPI,1,OT,,nc,True,False,False,True,20232024
Sun.,2023-09-24,2:00 ET,Merrimack,0,@,Clarkson,3,,,nc,True,False,False,False,20232024
Sun.,2023-09-24,2:00 ET,Penn State,2,@,Northeastern,1,,,nc,True,False,False,False,20232024
Sun.,2023-09-24,1:00 CT,Union,0,@,St. Cloud State,4,,,nc,True,False,False,False,20232024
Tue.,2023-09-26,6:00 ET,Ottawa,1,@,St. Lawrence,2,,,ex,True,False,True,False,20232024
Thu.,2023-09-28,7:10 CT,Wisconsin,6,@,Lindenwood,0,,,nc,True,False,False,False,20232024
Fri.,2023-09-29,6:00 ET,Connecticut,2,@,Penn State,0,,,nc,True,False,False,False,20232024
Fri.,2023-09-29,3:00 CT,Wisconsin,16,@,Lindenwood,1,,,nc,True,False,False,False,20232024
Fri.,2023-09-29,6:00 ET,Robert Morris,2,@,Union,5,,,nc,True,False,False,False,20232024
Fri.,2023-09-29,7:00 ET,Mercyhurst,1,@,St. Lawrence,5,,,nc,True,False,False,False,20232024
Fri.,2023-09-29,6:00 ET,Maine,0,@,Quinnipiac,3,,,nc,True,False,False,False,20232024
Fri.,2023-09-29,6:00 ET,Boston College,0,@,Clarkson,3,,,nc,True,False,False,False,20232024
Fri.,2023-09-29,6:00 ET,Stonehill,0,@,RPI,1,,,nc,True,False,False,False,20232024
Fri.,2023-09-29,,Ohio State,2,@,Colgate,3,,,nc,True,False,False,False,20232024
Fri.,2023-09-29,6:00 ET,Saint Anselm,2,@,Merrimack,3,,,nc,True,False,False,False,20232024
Fri.,2023-09-29,2:30 ET,Syracuse,2,@,Post,0,,,nc,True,False,False,False,20232024
Fri.,2023-09-29,7:50 ET,RIT,3,@,Assumption,2,,,nc,True,False,False,False,20232024
