Day,Date,Time,Visitor_Team,Visitor_Score,Location_Indicator,Home_Team,Home_Score,OT_Info,Notes,Type,Is_Final,Is_Neutral,Is_Exhibition,Is_OT,Season
Sat.,2021-09-18,4:00 ET,Connecticut,1,@,Quinnipiac,3,,,ex,True,False,True,False,20212022
Sun.,2021-09-19,3:00 ET,Syracuse,2,@,RPI,3,,,ex,True,False,True,False,20212022
Sun.,2021-09-19,12:05 ET,RIT,3,@,Mercyhurst,6,,,nc,True,False,False,False,20212022
Thu.,2021-09-23,7:00 ET,St. Lawrence,1,@,Penn State,0,,,nc,True,False,False,False,20212022
Fri.,2021-09-24,7:00 ET,St. Lawrence,2,@,Penn State,2,OT,,nc,True,False,False,True,20212022
Fri.,2021-09-24,6:05 ET,RPI,1,@,Mercyhurst,2,OT,,nc,True,False,False,True,20212022
Fri.,2021-09-24,7:10 CT,Wisconsin,8,@,Lindenwood,1,,,nc,True,False,False,False,20212022
Fri.,2021-09-24,5:00 ET,RIT,1,@,Colgate,8,,,nc,True,False,False,False,20212022
Fri.,2021-09-24,6:00 ET,Maine,2,@,Quinnipiac,3,,,nc,True,False,False,False,20212022
Fri.,2021-09-24,6:00 ET,Sacred Heart,1,@,Clarkson,6,,,nc,True,False,False,False,20212022
Fri.,2021-09-24,6:00 ET,LIU,1,@,Connecticut,3,,,nc,True,False,False,False,20212022
Fri.,2021-09-24,6:00 ET,Minnesota State,3,@,Merrimack,0,,,nc,True,False,False,False,20212022
Fri.,2021-09-24,6:07 ET,St. Thomas,0,@,Ohio State,6,,,wc,True,False,False,False,20212022
Sat.,2021-09-25,3:00 ET,Holy Cross,0,@,Boston University,2,,,ex,True,False,True,False,20212022
Sat.,2021-09-25,1:00 ET,St. Michael's,0,@,Vermont,12,,,ex,True,False,True,False,20212022
Sat.,2021-09-25,2:05 ET,RPI,0,@,Mercyhurst,2,,,nc,True,False,False,False,20212022
Sat.,2021-09-25,6:00 ET,Colgate,13,@,RIT,0,,,nc,True,False,False,False,20212022
Sat.,2021-09-25,3:30 CT,Wisconsin,10,@,Lindenwood,0,,,nc,True,False,False,False,20212022
Sat.,2021-09-25,3:00 ET,Maine,1,@,Quinnipiac,5,,,nc,True,False,False,False,20212022
Sat.,2021-09-25,2:00 ET,Sacred Heart,1,@,Clarkson,5,,,nc,True,False,False,False,20212022
Sat.,2021-09-25,3:00 ET,LIU,0,@,Connecticut,2,,,nc,True,False,False,False,20212022
Sat.,2021-09-25,4:00 ET,Minnesota State,9,@,Merrimack,3,,,nc,True,False,False,False,20212022
Sat.,2021-09-25,2:07 ET,St. Thomas,1,@,Ohio State,4,,,wc,True,False,False,False,20212022
Thu.,2021-09-30,7:00 ET,Boston College,2,@,Penn State,1,OT,,nc,True,False,False,True,20212022
Fri.,2021-10-01,6:00 ET,Boston Pride,2,@,Providence,3,,,ex,True,False,True,False,20212022
Fri.,2021-10-01,6:00 ET,Boston University,4,@,New Hampshire,2,,,he,True,False,False,False,20212022
Fri.,2021-10-01,6:00 ET,Northeastern,5,@,Holy Cross,0,,,he,True,False,False,False,20212022
Fri.,2021-10-01,6:00 ET,Union,7,@,RIT,4,,,nc,True,False,False,False,20212022
Fri.,2021-10-01,7:00 ET,Boston College,2,@,Penn State,1,,,nc,True,False,False,False,20212022
Fri.,2021-10-01,6:00 ET,Mercyhurst,2,@,Colgate,5,,,nc,True,False,False,False,20212022
Fri.,2021-10-01,6:00 ET,Syracuse,1,@,St. Lawrence,4,,,nc,True,False,False,False,20212022
Fri.,2021-10-01,6:00 ET,LIU,1,@,Quinnipiac,9,,,nc,True,False,False,False,20212022
Fri.,2021-10-01,6:00 ET,RPI,2,@,Vermont,3,OT,,nc,True,False,False,True,20212022
Fri.,2021-10-01,2:00 ET,Wisconsin,4,@,Merrimack,0,,,nc,True,False,False,False,20212022
Fri.,2021-10-01,6:07 CT,Lindenwood,2,@,St. Cloud State,4,,,nc,True,False,False,False,20212022
Fri.,2021-10-01,6:00 CT,Bemidji State,3,@,St. Thomas,0,,,wc,True,False,False,False,20212022
Fri.,2021-10-01,7:07 CT,Ohio State,4,@,Minnesota,2,,,wc,True,False,False,False,20212022
Fri.,2021-10-01,6:07 CT,Minnesota Duluth,7,@,Minnesota State,0,,,wc,True,False,False,False,20212022
Sat.,2021-10-02,2:00 ET,Holy Cross,0,@,Northeastern,6,,,he,True,False,False,False,20212022
Sat.,2021-10-02,2:00 ET,New Hampshire,0,@,Boston University,5,,,he,True,False,False,False,20212022
Sat.,2021-10-02,2:00 ET,Union,4,@,RIT,1,,,nc,True,False,False,False,20212022
Sat.,2021-10-02,3:00 ET,Syracuse,2,@,St. Lawrence,2,OT,,nc,True,False,False,True,20212022
Sat.,2021-10-02,3:00 ET,Mercyhurst,2,@,Colgate,4,,,nc,True,False,False,False,20212022
Sat.,2021-10-02,3:00 ET,LIU,0,@,Quinnipiac,4,,,nc,True,False,False,False,20212022
Sat.,2021-10-02,3:00 ET,RPI,1,@,Vermont,4,,,nc,True,False,False,False,20212022
Sat.,2021-10-02,3:00 ET,Saint Anselm,3,@,Maine,2,,,nc,True,False,False,False,20212022
Sat.,2021-10-02,2:00 ET,Wisconsin,5,@,Merrimack,0,,,nc,True,False,False,False,20212022
Sat.,2021-10-02,5:30 ET,St. Michael's,0,@,Sacred Heart,7,,,nc,True,False,False,False,20212022
Sat.,2021-10-02,2:07 CT,Lindenwood,2,@,St. Cloud State,4,,,nc,True,False,False,False,20212022
Sat.,2021-10-02,3:00 CT,Bemidji State,1,@,St. Thomas,2,,,wc,True,False,False,False,20212022
Sat.,2021-10-02,4:07 CT,Ohio State,4,@,Minnesota,1,,,wc,True,False,False,False,20212022
Sat.,2021-10-02,3:07 CT,Minnesota Duluth,2,@,Minnesota State,4,,,wc,True,False,False,False,20212022
Thu.,2021-10-07,6:00 ET,Clarkson,3,@,Syracuse,2,OT,,nc,True,False,False,True,20212022
Fri.,2021-10-08,6:00 ET,RPI,4,@,Union,0,,,ec,True,False,False,False,20212022
Fri.,2021-10-08,7:00 ET,Northeastern,1,@,Boston University,2,,,he,True,False,False,False,20212022
Fri.,2021-10-08,2:00 ET,New Hampshire,1,@,Providence,3,,,he,True,False,False,False,20212022
Fri.,2021-10-08,6:00 ET,Connecticut,4,@,RIT,3,,,nc,True,False,False,False,20212022
Fri.,2021-10-08,3:00 ET,Holy Cross,1,@,Penn State,5,,,nc,True,False,False,False,20212022
Fri.,2021-10-08,6:05 ET,Franklin Pierce,1,@,Mercyhurst,9,,,nc,True,False,False,False,20212022
Fri.,2021-10-08,6:00 ET,Saint Anselm,3,@,Quinnipiac,4,,,nc,True,False,False,False,20212022
Fri.,2021-10-08,3:15 ET,Maine,4,@,LIU,2,,,nc,True,False,False,False,20212022
Fri.,2021-10-08,4:00 ET,Sacred Heart,5,@,Post,1,,,nc,True,False,False,False,20212022
Fri.,2021-10-08,3:07 CT,Lindenwood,2,@,Minnesota State,6,,,nc,True,False,False,False,20212022
Fri.,2021-10-08,6:07 CT,Minnesota,3,@,Minnesota Duluth,1,,,wc,True,False,False,False,20212022
