Day,Date,Time,Visitor_Team,Visitor_Score,Location_Indicator,Home_Team,Home_Score,OT_Info,Notes,Type,Is_Final,Is_Neutral,Is_Exhibition,Is_OT,Season
Fri.,2011-09-30,7:05 AT,No Alberta IT,2,@,Alaska Anchorage,7,,,ex,True,False,True,False,20112012
Sat.,2011-10-01,4:05 ET,Queens,2,@,Niagara,7,,,ex,True,False,True,False,20112012
Sat.,2011-10-01,5:35 PT,Simon Fraser,3,vs,Air Force,8,,,ex,True,True,True,False,20112012
Sat.,2011-10-01,5:05 ET,York,3,@,Robert Morris,4,,,ex,True,False,True,False,20112012
Sat.,2011-10-01,8:05 ET,Ryerson,4,@,Connecticut,7,,,ex,True,False,True,False,20112012
Sat.,2011-10-01,7:05 ET,Brock,0,@,RIT,4,,,ex,True,False,True,False,20112012
Sat.,2011-10-01,7:05 ET,Windsor,5,@,Ohio State,6,,,ex,True,False,True,False,20112012
Sat.,2011-10-01,7:35 ET,Ontario IT,3,@,Michigan,2,,,ex,True,False,True,False,20112012
Sat.,2011-10-01,7:05 AT,No Alberta IT,0,@,Alaska,8,,,ex,True,False,True,False,20112012
Sat.,2011-10-01,7:05 ET,Toronto,2,@,Western Michigan,7,,,ex,True,False,True,False,20112012
Sat.,2011-10-01,7:00 ET,Acadia,0,@,RPI,7,,,ex,True,False,True,False,20112012
Sat.,2011-10-01,3:30 ET,Carleton,3,@,Colgate,3,OT,,ex,True,False,True,True,20112012
Sat.,2011-10-01,7:00 ET,St. Francis Xavier,6,@,Boston University,4,,,ex,True,False,True,False,20112012
Sat.,2011-10-01,4:00 ET,New Brunswick,0,@,New Hampshire,3,,,ex,True,False,True,False,20112012
Sat.,2011-10-01,7:05 ET,Lakehead,3,@,Michigan Tech,5,,,ex,True,False,True,False,20112012
Sat.,2011-10-01,7:05 CT,British Columbia,1,@,Omaha,4,,,ex,True,False,True,False,20112012
Sat.,2011-10-01,7:05 CT,Regina,1,@,North Dakota,8,,,ex,True,False,True,False,20112012
Sat.,2011-10-01,7:05 MT,McGill,2,@,Denver,2,OT,,ex,True,False,True,True,20112012
Sat.,2011-10-01,7:00 CT,Lake Superior,3,@,uah,2,,,nc,True,False,False,False,20112012
Sun.,2011-10-02,4:05 ET,Queens,2,@,Canisius,2,OT,,ex,True,False,True,True,20112012
Sun.,2011-10-02,7:05 ET,York,4,@,Mercyhurst,5,,,ex,True,False,True,False,20112012
