Day,Date,Time,Visitor_Team,Visitor_Score,Location_Indicator,Home_Team,Home_Score,OT_Info,Notes,Type,Is_Final,Is_Neutral,Is_Exhibition,Is_OT,Season
Fri.,2017-09-29,7:07 AT,Simon Fraser,0,@,Alaska,6,,,ex,True,False,True,False,20172018
Sat.,2017-09-30,7:05 ET,Carleton,4,@,Holy Cross,4,,,ex,True,False,True,False,20172018
Sat.,2017-09-30,7:05 ET,Ottawa,1,@,Robert Morris,5,,,ex,True,False,True,False,20172018
Sat.,2017-09-30,7:00 ET,Western Ontario,1,@,Michigan,10,,,ex,True,False,True,False,20172018
Sat.,2017-09-30,4:00 ET,Ryerson,7,@,Ohio State,4,,,ex,True,False,True,False,20172018
Sat.,2017-09-30,7:05 MT,No. Alberta IT,1,@,Arizona State,4,,,ex,True,False,True,False,20172018
Sat.,2017-09-30,5:00 ET,St. Mary's,2,@,RPI,1,,,ex,True,False,True,False,20172018
Sat.,2017-09-30,7:00 ET,McGill,3,@,St. Lawrence,2,,,ex,True,False,True,False,20172018
Sat.,2017-09-30,7:00 ET,Guelph,3,@,Clarkson,3,OT,,ex,True,False,True,True,20172018
Sat.,2017-09-30,7:30 ET,PEI,1,@,Northeastern,9,,,ex,True,False,True,False,20172018
Sat.,2017-09-30,7:00 ET,New Brunswick,2,@,Boston College,4,,,ex,True,False,True,False,20172018
Sat.,2017-09-30,7:00 ET,Acadia,2,@,UMass Lowell,4,,,ex,True,False,True,False,20172018
Sat.,2017-09-30,8:00 ET,Queens,0,@,Massachusetts,1,,,ex,True,False,True,False,20172018
Sat.,2017-09-30,3:05 ET,St. Francis Xavier,1,@,Connecticut,2,,,ex,True,False,True,False,20172018
Sat.,2017-09-30,7:07 CT,Manitoba,2,@,North Dakota,6,,,ex,True,False,True,False,20172018
Sat.,2017-09-30,7:07 CT,Regina,0,@,St. Cloud State,8,,,ex,True,False,True,False,20172018
Sat.,2017-09-30,7:07 CT,Alberta,4,@,Minnesota Duluth,3,,,ex,True,False,True,False,20172018
Sat.,2017-09-30,7:05 ET,Wilfrid Laurier,2,@,Western Michigan,8,,,ex,True,False,True,False,20172018
Sat.,2017-09-30,5:00 MT,Lethbridge,1,@,Colorado College,4,,,ex,True,False,True,False,20172018
Sat.,2017-09-30,7:07 AT,Simon Fraser,1,@,Alaska Anchorage,6,,,ex,True,False,True,False,20172018
Sat.,2017-09-30,4:00 ET,Niagara,1,@,Colgate,5,,,nc,True,False,False,False,20172018
Sat.,2017-09-30,7:30 ET,Union,1,@,Boston University,4,,,nc,True,False,False,False,20172018
Sun.,2017-10-01,2:05 ET,Carleton,5,@,Sacred Heart,2,,,ex,True,False,True,False,20172018
Sun.,2017-10-01,5:00 CT,Alberta,2,@,Minnesota,6,,,ex,True,False,True,False,20172018
Sun.,2017-10-01,3:00 ET,Ottawa,4,@,Penn State,3,OT,,ex,True,False,True,True,20172018
Sun.,2017-10-01,5:05 ET,US Under-18 Team,3,@,Notre Dame,4,,,ex,True,False,True,False,20172018
