Day,Date,Time,Visitor_Team,Visitor_Score,Location_Indicator,Home_Team,Home_Score,OT_Info,Notes,Type,Is_Final,Is_Neutral,Is_Exhibition,Is_OT,Season
Sat.,2019-10-05,7:00 ET,Northern Michigan,4,@,US Under-18 Team,3,,,ex,True,False,True,False,20192020
Sat.,2019-10-05,4:00 ET,Ryerson,3,@,Niagara,4,,,ex,True,False,True,False,20192020
Sat.,2019-10-05,7:05 ET,Simon Fraser,0,@,Holy Cross,9,,,ex,True,False,True,False,20192020
Sat.,2019-10-05,7:00 ET,Royal Military,0,@,Clarkson,7,,,ex,True,False,True,False,20192020
Sat.,2019-10-05,4:00 ET,Brock,3,@,RPI,6,,,ex,True,False,True,False,20192020
Sat.,2019-10-05,7:05 ET,Guelph,1,@,Vermont,6,,,ex,True,False,True,False,20192020
Sat.,2019-10-05,2:00 ET,New Brunswick,2,@,Boston College,4,,,ex,True,False,True,False,20192020
Sat.,2019-10-05,7:05 ET,No. Alberta IT,1,@,Western Michigan,6,,,ex,True,False,True,False,20192020
Sat.,2019-10-05,7:07 CT,Alberta,5,@,Minnesota Duluth,3,,,ex,True,False,True,False,20192020
Sat.,2019-10-05,6:07 MT,Trinity Western,1,@,Colorado College,4,,,ex,True,False,True,False,20192020
Sat.,2019-10-05,7:07 CT,Manitoba,1,@,North Dakota,5,,,ex,True,False,True,False,20192020
Sat.,2019-10-05,,Mount Royal,2,@,Minnesota State,5,,,ex,True,False,True,False,20192020
Sat.,2019-10-05,4:00 ET,Maine,0,@,Providence,7,,,he,True,False,False,False,20192020
Sat.,2019-10-05,7:05 ET,Connecticut,3,@,Sacred Heart,3,OT,,nc,True,False,False,True,20192020
Sat.,2019-10-05,7:05 ET,Michigan Tech,2,@,Robert Morris,1,OT,,nc,True,False,False,True,20192020
Sat.,2019-10-05,7:05 MT,Mercyhurst,3,@,Arizona State,2,,,nc,True,False,False,False,20192020
Sat.,2019-10-05,7:00 ET,RIT,3,@,Colgate,1,,,nc,True,False,False,False,20192020
Sat.,2019-10-05,4:00 ET,Boston University,7,@,Union,3,,,nc,True,False,False,False,20192020
Sat.,2019-10-05,6:00 ET,uah,1,@,UMass Lowell,5,,,nc,True,False,False,False,20192020
Sat.,2019-10-05,7:00 ET,Merrimack,2,@,Lake Superior,6,,,nc,True,False,False,False,20192020
Sat.,2019-10-05,7:00 ET,Merrimack,2,@,Lake Superior,6,,,nc,True,False,False,False,20192020
Sat.,2019-10-05,7:07 AT,Denver,4,@,Alaska,3,,,nc,True,False,False,False,20192020
Sun.,2019-10-06,4:00 ET,Notre Dame,4,@,US Under-18 Team,2,,,ex,True,False,True,False,20192020
Sun.,2019-10-06,3:05 ET,Simon Fraser,1,@,Sacred Heart,6,OT,,ex,True,False,True,True,20192020
Sun.,2019-10-06,5:05 MT,Trinity Western,0,@,Air Force,8,,,ex,True,False,True,False,20192020
Sun.,2019-10-06,4:00 ET,Windsor,2,@,Michigan,8,,,ex,True,False,True,False,20192020
Sun.,2019-10-06,5:00 ET,Western,2,@,Ohio State,5,,,ex,True,False,True,False,20192020
Sun.,2019-10-06,5:00 CT,Mount Royal,2,@,Minnesota,2,OT,,ex,True,False,True,True,20192020
Sun.,2019-10-06,1:00 ET,Ottawa,0,@,Penn State,5,,,ex,True,False,True,False,20192020
Sun.,2019-10-06,4:00 ET,Brock,4,@,Quinnipiac,4,OT,,ex,True,False,True,True,20192020
Sun.,2019-10-06,5:00 ET,Guelph,3,@,New Hampshire,4,,,ex,True,False,True,False,20192020
Sun.,2019-10-06,4:00 ET,New Brunswick,5,@,Maine,0,,,ex,True,False,True,False,20192020
Sun.,2019-10-06,5:07 CT,Alberta,2,@,St. Cloud State,4,,,ex,True,False,True,False,20192020
Sun.,2019-10-06,2:00 ET,Waterloo,2,@,Ferris State,2,OT,,ex,True,False,True,True,20192020
Sun.,2019-10-06,4:05 ET,Union,2,@,Army,3,,,nc,True,False,False,False,20192020
Sun.,2019-10-06,3:05 ET,Michigan Tech,7,@,Robert Morris,0,,,nc,True,False,False,False,20192020
Sun.,2019-10-06,3:00 MT,Mercyhurst,4,@,Arizona State,6,,,nc,True,False,False,False,20192020
Sun.,2019-10-06,4:00 ET,uah,1,@,UMass Lowell,3,,,nc,True,False,False,False,20192020
Sun.,2019-10-06,5:05 ET,Bowling Green,7,@,Miami,4,,,nc,True,False,False,False,20192020
Sun.,2019-10-06,5:00 ET,Merrimack,3,@,Lake Superior,4,,,nc,True,False,False,False,20192020
Sun.,2019-10-06,5:00 ET,Merrimack,3,@,Lake Superior,4,,,nc,True,False,False,False,20192020
Sun.,2019-10-06,7:07 AT,Denver,3,@,Alaska,0,,,nc,True,False,False,False,20192020
Mon.,2019-10-07,7:00 ET,Western,1,@,Michigan State,6,,,ex,True,False,True,False,20192020
Mon.,2019-10-07,7:07 CT,Manitoba,3,@,Omaha,3,OT,,ex,True,False,True,True,20192020
