Day,Date,Time,Visitor_Team,Visitor_Score,Location_Indicator,Home_Team,Home_Score,OT_Info,Notes,Type,Is_Final,Is_Neutral,Is_Exhibition,Is_OT,Season
Fri.,2015-10-02,7:07 AT,Mount Royal,1,@,Alaska Anchorage,0,,,EX,True,False,False,False,20152016
Fri.,2015-10-02,7:00 AT,Mt. Royal,1,@,Alaska Anchorage,0,,,ex,True,False,True,False,20152016
Sat.,2015-10-03,3:05 ET,Wilfrid Laurier,3,@,Niagara,5,,,ex,True,False,True,False,20152016
Sat.,2015-10-03,7:05 ET,Ontario IT,1,@,RIT,9,,,ex,True,False,True,False,20152016
Sat.,2015-10-03,4:05 ET,Brock,0,@,Ohio State,4,,,ex,True,False,True,False,20152016
Sat.,2015-10-03,7:00 MT,Arizona,1,@,Arizona State,8,,,ex,True,False,True,False,20152016
Sat.,2015-10-03,7:05 ET,St. Francis Xavier,1,@,Merrimack,4,,,ex,True,False,True,False,20152016
Sat.,2015-10-03,7:00 ET,St. Thomas,3,@,RPI,2,OT,,ex,True,False,True,True,20152016
Sat.,2015-10-03,7:00 ET,Carleton,3,@,St. Lawrence,5,,,ex,True,False,True,False,20152016
Sat.,2015-10-03,5:00 ET,McGill,3,@,Clarkson,4,,,ex,True,False,True,False,20152016
Sat.,2015-10-03,7:00 ET,Carleton,3,@,St. Lawrence,5,,,EX,True,False,False,False,20152016
Sat.,2015-10-03,3:05 ET,Queen's,1,@,Connecticut,3,,,EX,True,False,False,False,20152016
Sat.,2015-10-03,7:00 ET,Dalhousie,0,@,Massachusetts,4,,,ex,True,False,True,False,20152016
Sat.,2015-10-03,3:00 ET,Queens,1,@,Connecticut,3,,,ex,True,False,True,False,20152016
Sat.,2015-10-03,7:05 ET,St. Francis Xavier,1,@,Merrimack,4,,,ex,True,False,True,False,20152016
Sat.,2015-10-03,7:00 ET,Simon Fraser,1,@,Providence,9,,,ex,True,False,True,False,20152016
Sat.,2015-10-03,4:00 ET,Acadia,2,@,Boston University,4,,,ex,True,False,True,False,20152016
Sat.,2015-10-03,7:00 ET,New Brunswick,5,@,Boston College,2,,,ex,True,False,True,False,20152016
Sat.,2015-10-03,7:07 CT,Alberta,2,@,St. Cloud State,6,,,ex,True,False,True,False,20152016
Sat.,2015-10-03,7:07 CT,Manitoba,3,@,North Dakota,8,,,ex,True,False,True,False,20152016
Sat.,2015-10-03,7:07 MT,Calgary,2,@,Colorado College,6,,,ex,True,False,True,False,20152016
Sat.,2015-10-03,4:00 ET,Western Ontario,1,@,Miami,6,,,ex,True,False,True,False,20152016
Sat.,2015-10-03,7:00 ET,Lethbridge,4,@,Western Michigan,3,,,ex,True,False,True,False,20152016
Sat.,2015-10-03,7:00 ET,US Under-18 Team,0,@,Northern Michigan,4,,,ex,True,False,True,False,20152016
Sat.,2015-10-03,7:07 ET,Toronto,3,@,Bowling Green,4,,,ex,True,False,True,False,20152016
Sat.,2015-10-03,7:07 ET,USA Under-18 Team,0,@,Northern Michigan,4,,,EX,True,False,False,False,20152016
Sat.,2015-10-03,7:05 ET,Colgate,5,@,Mercyhurst,2,,,nc,True,False,False,False,20152016
Sun.,2015-10-04,4:05 ET,Ontario IT,4,@,Canisius,2,,,ex,True,False,True,False,20152016
Sun.,2015-10-04,3:00 ET,Dalhousie,5,@,Sacred Heart,3,,,ex,True,False,True,False,20152016
Sun.,2015-10-04,12:07 ET,Windsor,2,@,Penn State,5,,,ex,True,False,True,False,20152016
