Day,Date,Time,Visitor_Team,Visitor_Score,Location_Indicator,Home_Team,Home_Score,OT_Info,Notes,Type,Is_Final,Is_Neutral,Is_Exhibition,Is_OT,Season
Fri.,2018-09-28,7:07 AT,Simon Fraser,1,@,Alaska Anchorage,5,,,ex,True,False,True,False,20182019
Sat.,2018-09-29,7:07 AT,Simon Fraser,1,@,Alaska,13,,,ex,True,False,True,False,20182019
Sat.,2018-10-06,4:35 ET,Toronto,4,@,Canisius,0,,,ex,True,False,True,False,20182019
Sat.,2018-10-06,7:05 ET,Wilfrid Laurier,2,@,RIT,5,,,ex,True,False,True,False,20182019
Sat.,2018-10-06,3:00 ET,York,5,@,Niagara,2,,,ex,True,False,True,False,20182019
Sat.,2018-10-06,5:00 ET,Brock,2,@,Penn State,3,,,ex,True,False,True,False,20182019
Sat.,2018-10-06,5:00 ET,Ottawa,3,@,St. Lawrence,1,,,ex,True,False,True,False,20182019
Sat.,2018-10-06,7:00 ET,Prince Edward Island,2,@,Quinnipiac,5,,,ex,True,False,True,False,20182019
Sat.,2018-10-06,7:00 ET,Guelph,3,@,Clarkson,4,,,ex,True,False,True,False,20182019
Sat.,2018-10-06,7:00 ET,New Brunswick,1,@,Boston College,8,,,ex,True,False,True,False,20182019
Sat.,2018-10-06,8:00 ET,Royal Military,1,@,Massachusetts,6,,,ex,True,False,True,False,20182019
Sat.,2018-10-06,7:00 ET,Acadia,1,@,Boston University,7,,,ex,True,False,True,False,20182019
Sat.,2018-10-06,7:07 MT,Alberta,4,@,Denver,6,,,ex,True,False,True,False,20182019
Sat.,2018-10-06,7:07 CT,Manitoba,2,@,North Dakota,3,OT,,ex,True,False,True,True,20182019
Sat.,2018-10-06,7:05 ET,Lethbridge,1,@,Western Michigan,4,,,ex,True,False,True,False,20182019
Sat.,2018-10-06,7:07 CT,Lakehead,1,@,Bemidji State,5,,,ex,True,False,True,False,20182019
Sat.,2018-10-06,7:07 CT,Mount Royal,3,@,Minnesota State,7,,,ex,True,False,True,False,20182019
Sat.,2018-10-06,5:07 ET,USA Under-18 Team,1,@,Ferris State,3,,,ex,True,False,True,False,20182019
Sat.,2018-10-06,7:05 ET,Bowling Green,8,@,Mercyhurst,2,,,nc,True,False,False,False,20182019
Sat.,2018-10-06,7:30 ET,Vermont,5,@,Michigan,2,,,nc,True,False,False,False,20182019
Sat.,2018-10-06,7:00 ET,Lake Superior,5,@,Merrimack,4,,,nc,True,False,False,False,20182019
Sat.,2018-10-06,7:05 ZT,Alaska,0,@,Arizona State,3,,,nc,True,False,False,False,20182019
Sat.,2018-10-06,7:00 ET,Army,1,@,Union,4,,,nc,True,False,False,False,20182019
Sat.,2018-10-06,7:00 ET,aic,1,@,Providence,3,,,nc,True,False,False,False,20182019
Sat.,2018-10-06,7:00 ET,Lake Superior,5,@,Merrimack,4,,,nc,True,False,False,False,20182019
Sat.,2018-10-06,7:07 CT,Minnesota,1,@,Minnesota Duluth,1,OT,,nc,True,False,False,True,20182019
Sat.,2018-10-06,7:05 ET,uah,1,@,Miami,5,,,nc,True,False,False,False,20182019
Sat.,2018-10-06,7:07 AT,Colorado College,10,@,Alaska Anchorage,2,,,nc,True,False,False,False,20182019
Sun.,2018-10-07,4:05 ET,Brock,2,@,Robert Morris,4,,,ex,True,False,True,False,20182019
Sun.,2018-10-07,5:05 MT,Alberta,2,@,Air Force,2,OT,,ex,True,False,True,True,20182019
Sun.,2018-10-07,4:00 ET,Windsor,1,@,Michigan State,3,,,ex,True,False,True,False,20182019
Sun.,2018-10-07,5:00 CT,Victoria,2,@,Wisconsin,8,,,ex,True,False,True,False,20182019
Sun.,2018-10-07,5:00 ET,USA Under-18 Team,4,@,Notre Dame,1,,,ex,True,False,True,False,20182019
Sun.,2018-10-07,4:00 ET,Waterloo,4,@,Michigan,7,,,ex,True,False,True,False,20182019
Sun.,2018-10-07,4:00 ET,Guelph,2,@,Colgate,5,,,ex,True,False,True,False,20182019
Sun.,2018-10-07,5:00 ET,Prince Edward Island,2,@,RPI,3,,,ex,True,False,True,False,20182019
Sun.,2018-10-07,1:00 ET,Acadia,3,@,UMass Lowell,4,,,ex,True,False,True,False,20182019
Sun.,2018-10-07,5:00 CT,Mount Royal,2,@,St. Cloud State,6,,,ex,True,False,True,False,20182019
Sun.,2018-10-07,5:07 CT,Manitoba,1,@,Omaha,6,,,ex,True,False,True,False,20182019
Sun.,2018-10-07,3:07 ET,Lethbridge,2,@,Ferris State,5,,,ex,True,False,True,False,20182019
Sun.,2018-10-07,7:00 CT,Minnesota Duluth,4,@,Minnesota,7,,,nc,True,False,False,False,20182019
Sun.,2018-10-07,3:00 ZT,Alaska,0,@,Arizona State,5,,,nc,True,False,False,False,20182019
Sun.,2018-10-07,4:00 ET,Lake Superior,1,@,Merrimack,0,,,nc,True,False,False,False,20182019
Sun.,2018-10-07,4:00 ET,Lake Superior,1,@,Merrimack,0,,,nc,True,False,False,False,20182019
Sun.,2018-10-07,3:00 ET,uah,0,@,Miami,4,,,nc,True,False,False,False,20182019
Sun.,2018-10-07,5:07 AT,Colorado College,3,@,Alaska Anchorage,4,,,nc,True,False,False,False,20182019
Mon.,2018-10-08,6:00 ET,Prince Edward Island,1,@,Maine,6,,,ex,True,False,True,False,20182019
Tue.,2018-10-09,7:05 ET,Bowling Green,6,@,Western Michigan,2,,,nc,True,False,False,False,20182019
Thu.,2018-10-11,7:05 ET,Laurentian,4,@,Vermont,1,,,ex,True,False,True,False,20182019
Thu.,2018-10-11,7:00 ET,Clarkson,3,@,Penn State,4,,,nc,True,False,False,False,20182019
Fri.,2018-10-12,7:05 ET,aic,3,@,Niagara,4,OT,,ah,True,False,False,True,20182019
Fri.,2018-10-12,7:05 ET,Canisius,2,@,Holy Cross,4,,,ah,True,False,False,False,20182019
Fri.,2018-10-12,7:30 ET,USA Under-18 Team,6,@,Michigan,3,,,ex,True,False,True,False,20182019
Fri.,2018-10-12,7:07 ET,Nipissing,1,@,Lake Superior,3,,,ex,True,False,True,False,20182019
Fri.,2018-10-12,7:30 ET,Notre Dame,6,vs,Mercyhurst,6,OT,,nc,True,True,False,True,20182019
Fri.,2018-10-12,7:05 ET,Merrimack,1,@,Bentley,0,,,nc,True,False,False,False,20182019
Fri.,2018-10-12,7:05 ET,Merrimack,1,@,Bentley,0,,,nc,True,False,False,False,20182019
Fri.,2018-10-12,7:05 ET,Northeastern,5,@,Sacred Heart,2,,,nc,True,False,False,False,20182019
Fri.,2018-10-12,7:05 ET,Connecticut,5,@,Army,2,,,nc,True,False,False,False,20182019
Fri.,2018-10-12,7:05 MT,Denver,4,@,Air Force,1,,,nc,True,False,False,False,20182019
Fri.,2018-10-12,7:05 ET,Bowling Green,2,@,Robert Morris,3,,,nc,True,False,False,False,20182019
Fri.,2018-10-12,7:00 ET,Clarkson,1,@,Penn State,5,,,nc,True,False,False,False,20182019
Fri.,2018-10-12,7:00 CT,Boston College,0,@,Wisconsin,3,,,nc,True,False,False,False,20182019
Fri.,2018-10-12,7:00 ET,Northern Michigan,2,@,Michigan State,4,,,nc,True,False,False,False,20182019
Fri.,2018-10-12,7:05 ZT,Ohio State,3,@,Arizona State,2,,,nc,True,False,False,False,20182019
Fri.,2018-10-12,7:00 ET,New Hampshire,1,@,Colgate,2,,,nc,True,False,False,False,20182019
Fri.,2018-10-12,7:00 ET,Omaha,3,@,Union,3,OT,,nc,True,False,False,True,20182019
Fri.,2018-10-12,7:15 ET,RIT,1,@,UMass Lowell,2,,,nc,True,False,False,False,20182019
Fri.,2018-10-12,7:00 ET,St. Lawrence,1,@,Maine,3,,,nc,True,False,False,False,20182019
Fri.,2018-10-12,7:00 ET,RPI,1,@,Massachusetts,6,,,nc,True,False,False,False,20182019
Fri.,2018-10-12,4:00 ET,Providence,4,vs,Miami,0,,,NC,True,True,False,False,20182019
Fri.,2018-10-12,7:30 MT,uah,0,@,Colorado College,1,,,nc,True,False,False,False,20182019
Fri.,2018-10-12,7:07 CT,Boston University,3,@,Minnesota State,4,,,nc,True,False,False,False,20182019
Fri.,2018-10-12,7:07 CT,North Dakota,1,@,Bemidji State,2,,,nc,True,False,False,False,20182019
Fri.,2018-10-12,7:37 ET,Minnesota Duluth,2,@,Michigan Tech,1,,,nc,True,False,False,False,20182019
Fri.,2018-10-12,7:07 ET,Western Michigan,4,@,Ferris State,3,,,nc,True,False,False,False,20182019
Fri.,2018-10-12,7:07 AT,St. Cloud State,3,@,Alaska,2,,,nc,True,False,False,False,20182019
Sat.,2018-10-13,7:05 ET,aic,3,@,Niagara,1,,,ah,True,False,False,False,20182019
Sat.,2018-10-13,5:05 ET,Canisius,7,@,Holy Cross,6,,,ah,True,False,False,False,20182019
Sat.,2018-10-13,1:00 ET,Minnesota,7,@,USA Under-18 Team,1,,,EX,True,False,False,False,20182019
Sat.,2018-10-13,7:00 ET,Laurentian,1,@,Cornell,6,,,ex,True,False,True,False,20182019
Sat.,2018-10-13,7:07 ET,Nipissing,0,@,Lake Superior,4,,,ex,True,False,True,False,20182019
Sat.,2018-10-13,4:00 ET,Miami,3,vs,Mercyhurst,0,,,nc,True,True,False,False,20182019
Sat.,2018-10-13,7:30 ET,Providence,0,vs,Notre Dame,3,,,nc,True,True,False,False,20182019
Sat.,2018-10-13,7:05 ET,Merrimack,2,@,Army,3,,,nc,True,False,False,False,20182019
Sat.,2018-10-13,7:05 ET,Merrimack,2,@,Army,3,,,nc,True,False,False,False,20182019
Sat.,2018-10-13,7:05 ET,Northeastern,5,@,Sacred Heart,0,,,nc,True,False,False,False,20182019
Sat.,2018-10-13,7:00 CT,Boston College,5,@,Wisconsin,7,,,nc,True,False,False,False,20182019
Sat.,2018-10-13,7:30 ET,Northern Michigan,4,@,Michigan State,3,,,nc,True,False,False,False,20182019
Sat.,2018-10-13,7:05 ZT,Ohio State,3,@,Arizona State,0,,,nc,True,False,False,False,20182019
Sat.,2018-10-13,7:00 ET,Massachusetts,3,@,RPI,1,,,nc,True,False,False,False,20182019
Sat.,2018-10-13,4:00 ET,New Hampshire,1,@,Colgate,2,,,nc,True,False,False,False,20182019
Sat.,2018-10-13,7:00 ET,Omaha,4,@,Union,5,,,nc,True,False,False,False,20182019
Sat.,2018-10-13,6:00 ET,RIT,5,@,UMass Lowell,4,OT,,nc,True,False,False,True,20182019
Sat.,2018-10-13,7:00 ET,St. Lawrence,1,@,Maine,4,,,nc,True,False,False,False,20182019
Sat.,2018-10-13,7:05 ET,Quinnipiac,3,@,Vermont,2,,,nc,True,False,False,False,20182019
Sat.,2018-10-13,7:07 MT,Air Force,1,@,Colorado College,6,,,nc,True,False,False,False,20182019
Sat.,2018-10-13,7:07 MT,uah,0,@,Denver,6,,,nc,True,False,False,False,20182019
Sat.,2018-10-13,7:05 ET,Ferris State,0,@,Western Michigan,5,,,nc,True,False,False,False,20182019
Sat.,2018-10-13,7:07 CT,Bemidji State,1,@,North Dakota,1,OT,,nc,True,False,False,True,20182019
Sat.,2018-10-13,7:07 CT,Boston University,3,@,Minnesota State,5,,,nc,True,False,False,False,20182019
Sat.,2018-10-13,7:07 AT,St. Cloud State,6,@,Alaska,2,,,nc,True,False,False,False,20182019
Sat.,2018-10-13,7:07 ET,Minnesota Duluth,5,@,Michigan Tech,2,,,nc,True,False,False,False,20182019
Sun.,2018-10-14,5:07 ET,Robert Morris,0,@,Bowling Green,6,,,nc,True,False,False,False,20182019
Tue.,2018-10-16,7:05 ET,Bentley,4,@,aic,5,OT,,ah,True,False,False,True,20182019
Tue.,2018-10-16,7:00 ET,Connecticut,2,@,Quinnipiac,4,,,nc,True,False,False,False,20182019
Thu.,2018-10-18,7:05 ET,Bentley,4,@,aic,4,OT,,ah,True,False,False,True,20182019
Fri.,2018-10-19,7:35 ET,Air Force,7,@,Canisius,3,,,ah,True,False,False,False,20182019
Fri.,2018-10-19,7:05 ET,Army,2,@,Robert Morris,2,OT,,ah,True,False,False,True,20182019
Fri.,2018-10-19,7:30 ET,USA Under-18 Team,4,@,Boston University,5,OT,,ex,True,False,True,True,20182019
Fri.,2018-10-19,7:00 ET,Connecticut,2,@,Providence,7,,,he,True,False,False,False,20182019
Fri.,2018-10-19,7:00 ET,Niagara,2,@,Penn State,8,,,nc,True,False,False,False,20182019
Fri.,2018-10-19,7:00 ET,Massachusetts,6,@,Ohio State,3,,,nc,True,False,False,False,20182019
Fri.,2018-10-19,7:30 ET,Western Michigan,5,@,Michigan,6,,,nc,True,False,False,False,20182019
Fri.,2018-10-19,7:00 ET,Holy Cross,3,@,St. Lawrence,4,,,nc,True,False,False,False,20182019
