Day,Date,Time,Visitor_Team,Visitor_Score,Location_Indicator,Home_Team,Home_Score,OT_Info,Notes,Type,Is_Final,Is_Neutral,Is_Exhibition,Is_OT,Season
Fri.,2023-09-29,7:07 AT,Vancouver Island,2,@,Alaska Anchorage,7,,,ex,True,False,True,False,20232024
Sat.,2023-09-30,7:00 ET,Simon Fraser,1,@,Michigan,8,,,ex,True,False,True,False,20232024
Sat.,2023-09-30,7:07 AT,Vancouver Island,1,@,Alaska,8,,,ex,True,False,True,False,20232024
Fri.,2023-10-06,7:00 MT,Arizona,0,@,Arizona State,16,,,ex,True,False,True,False,20232024
Sat.,2023-10-07,7:00 ET,Western Michigan,9,@,USNTP,4,,,ex,True,False,True,False,20232024
Sat.,2023-10-07,5:00 ET,Royal Military,3,@,Niagara,8,,,ex,True,False,True,False,20232024
Sat.,2023-10-07,2:00 ET,Merrimack,3,@,Sacred Heart,2,OT,,ex,True,False,True,True,20232024
Sat.,2023-10-07,6:07 CT,Omaha,1,@,Minnesota State,0,,,ex,True,False,True,False,20232024
Sat.,2023-10-07,2:00 ET,McGill,0,@,Vermont,4,,,ex,True,False,True,False,20232024
Sat.,2023-10-07,6:07 CT,Manitoba,0,@,North Dakota,10,,,ex,True,False,True,False,20232024
Sat.,2023-10-07,6:00 MT,Simon Fraser,3,@,Colorado College,6,,,ex,True,False,True,False,20232024
Sat.,2023-10-07,7:00 ET,Ohio State,4,@,Mercyhurst,3,,,nc,True,False,False,False,20232024
Sat.,2023-10-07,7:00 ET,Bowling Green,3,@,Robert Morris,0,,,nc,True,False,False,False,20232024
Sat.,2023-10-07,5:05 MT,Lindenwood,1,@,Air Force,4,,,nc,True,False,False,False,20232024
Sat.,2023-10-07,7:05 ET,Boston University,3,@,Bentley,2,OT,,nc,True,False,False,True,20232024
Sat.,2023-10-07,4:00 ET,Lake Superior,2,@,Michigan State,5,,,nc,True,False,False,False,20232024
Sat.,2023-10-07,7:00 CT,Augustana,0,@,Wisconsin,4,,,nc,True,False,False,False,20232024
Sat.,2023-10-07,7:00 ET,Clarkson,3,@,Notre Dame,1,,,nc,True,False,False,False,20232024
